modelname	src_lang	tgt_lang
CLAck/en-vi	en	vi
CLAck/vi-en	vi	en
K024/mt5-zh-ja-en-trimmed	zh	ja
K024/mt5-zh-ja-en-trimmed	zh	en
K024/mt5-zh-ja-en-trimmed	ja	en
NYTK/translation-bart-128-en-hu	en	hu
NYTK/translation-bart-en-hu	en	hu
NYTK/translation-bart-hu-en	hu	en
NYTK/translation-marianmt-en-hu	en	hu
NYTK/translation-mt5-small-128-en-hu	en	hu
Narrativa/mbart-large-50-finetuned-opus-en-pt-translation	en	pt
Narrativa/mbart-large-50-finetuned-opus-pt-en-translation	pt	en
akhooli/mbart-large-cc25-ar-en	ar	en
akhooli/mbart-large-cc25-en-ar	en	ar
allenai/wmt16-en-de-12-1	en	de
allenai/wmt16-en-de-dist-12-1	en	de
allenai/wmt16-en-de-dist-6-1	en	de
allenai/wmt19-de-en-6-6-base	de	en
allenai/wmt19-de-en-6-6-big	de	en
cristinae/marian_caes2en	ca	es
cristinae/marian_caes2en	ca	en
cristinae/marian_caes2en	es	en
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-cc25	ar	ar
facebook/mbart-large-en-ro	en	ro
facebook/wmt19-de-en	de	en
facebook/wmt19-en-de	en	de
facebook/wmt19-en-ru	en	ru
